Country,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,PC1,PC2
Isle of Man,0,1,-1,-1.8638008205387944,-1.6355371950671347
Israel,0,1,-1,-1.1503023217388393,-1.581973764806322
Italy,0,1,-1,-4.349997198966601,-1.972208244074735
Jamaica,0,1,-1,-0.304432238943497,-1.1670012357746
Japan,0,1,-1,-4.645549958362745,-1.3316487005811588
Jordan,0,1,-1,0.9611330678568941,-0.7106143533456801
Kazakhstan,0,1,-1,-0.5708277589975985,-0.5853806466916401
Kenya,0,1,-1,3.042719305661412,0.5421892779839423
Kiribati,0,1,-1,0.962852128648752,-1.0423806644683404
"Korea, Dem. People's Rep.",0,1,-1,-1.1627644600940967,-1.169833158215818
"Korea, Rep.",0,1,-1,-4.109631487177642,-1.803315522757654
Kosovo,0,1,-1,-1.098658407803641,-1.3580344677803367
Kuwait,0,1,-1,-0.28600497702580796,-1.0130963498740964
Kyrgyz Republic,0,1,-1,0.7914566131682499,-0.7759529048635478
Lao PDR,0,1,-1,3.712579227257122,0.11445194888741114
Latin America & Caribbean,1,0,-1,-4.979297589231549,10.986663104503073
Latvia,0,1,-1,-3.926917994084109,-2.352933370027432
Lebanon,0,1,-1,0.6970121160378626,-0.7024031283190771
Lesotho,0,1,-1,2.7845418758688756,-0.29247643556858066
Liberia,0,1,-1,4.677768972754897,0.37981953888921555
Libya,0,1,-1,0.0977826236425014,-0.8492590266524607
Liechtenstein,0,1,-1,-2.252278696719211,-1.9243589452111063
Lithuania,0,1,-1,-3.4866546754547856,-2.432998158914678
Lower middle income,1,0,-1,-4.2210612919558965,31.200877772156137
Luxembourg,0,1,-1,-2.1981915977272806,-1.8848591187779347
"Macao SAR, China",0,1,-1,-2.8068890248462663,-2.0598852605713254
Madagascar,0,1,-1,8.272369594188948,2.2343860365641794
Malawi,0,1,-1,6.5873941441138575,0.9773350784882288
Malaysia,0,1,-1,-0.969729604199416,-0.41778723368193366
Maldives,0,1,-1,0.437803323112726,-0.9586379937142674
Mali,0,1,-1,10.486555012021054,2.680228380680765
Malta,0,1,-1,-2.622051358864306,-1.9805712425880537
Marshall Islands,0,1,-1,0.9193838711152597,-0.8978520763762923
Mauritania,0,1,-1,6.976486253098959,1.1300257313870856
Mauritius,0,1,-1,-2.3961064770779963,-1.6944135323116176
Mexico,0,1,-1,-1.699742051088202,0.19456959614961214
"Micronesia, Fed. Sts.",0,1,-1,1.1411198662197786,-0.8099737815104803
Middle East & North Africa,0,1,-1,-0.6333601878018087,-0.5037251419327509
"Middle East, North Africa, Afghanistan & Pakistan",0,1,-1,2.056119376399166,5.167290906688847
Moldova,0,1,-1,-3.1238867288840333,-1.9606713691552855
Monaco,0,1,-1,-6.640054691402706,-3.386138022448418
Mongolia,0,1,-1,-0.027734206596556576,-0.7663172050817889
Montenegro,0,1,-1,-2.8486781351417325,-2.0838553478723534
Morocco,0,1,-1,0.6387141947830934,-0.3826135061626088
Mozambique,0,1,-1,7.866001191082794,1.5885013389569684
Myanmar,0,1,-1,1.1896226846243616,-0.1071026492592662
Namibia,0,1,-1,2.2248947561663552,-0.37070041358925293
Nauru,0,1,-1,-0.43846107896082576,-1.238309569989833
Nepal,0,1,-1,2.3352002592483885,-0.37690146854584633
Netherlands,0,1,-1,-4.317786503790814,-2.208941373719367
New Caledonia,0,1,-1,-1.4978299652810942,-1.538634331074875
New Zealand,0,1,-1,-3.446509247191608,-1.9989717450049127
Nicaragua,0,1,-1,1.6300311267663836,-0.5092811436858966
Niger,0,1,-1,12.33631490458242,3.2629589618333528
Nigeria,0,1,-1,4.998089090709036,3.0683990496042517
North America,1,0,-1,-7.889158136711368,6.437146365575978
North Macedonia,0,1,-1,-2.001845421019755,-1.7066438791661742
Northern Mariana Islands,0,1,-1,-1.5282977146865444,-1.543654396830116
