Country,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,PC1,PC2
Latin America & Caribbean (excluding high income),0,0,-1,-0.23057568463319164,-0.48521457705740706
Latin America & the Caribbean (IDA & IBRD countries),0,0,-1,-0.2528354973244265,-0.5074953525576906
Latvia,0,0,-1,-0.8637493054283276,-0.4572747009552665
Least developed countries: UN classification,0,0,-1,0.7137626724590284,0.5179909693585621
Lebanon,0,0,-1,-2.4687535181272375,-2.0541113889048814
Lesotho,0,0,-1,-1.3078604394990827,-3.048534501836382
Liberia,0,0,-1,5.9865875176316745,0.13973143324147988
Libya,0,0,-1,-5.476743016405744,-4.9575764337656905
Liechtenstein,0,0,-1,-0.14208044015680918,1.0676380008128612
Lithuania,0,0,-1,-1.337276910374158,0.5744912649054468
Low & middle income,0,0,-1,0.22534044031097986,0.06971966484764817
Low income,0,0,-1,1.466670847832448,-0.06539072191234208
Lower middle income,0,0,-1,-0.22500574674530327,3.730184076618845
Luxembourg,0,0,-1,-3.378682497239453,1.4705853488670988
"Macao SAR, China",0,0,-1,0.113072838986137,1.3992553589953085
Madagascar,0,0,-1,5.984045606909469,-0.2454979112019661
Malawi,0,0,-1,5.793393202605647,-0.6062003798977227
Malaysia,0,0,-1,0.6913265555897019,2.436293948765205
Maldives,0,0,-1,1.6727289082876575,-0.5176426399505578
Mali,0,0,-1,5.037498114572294,0.10872004794479576
Malta,0,0,-1,-1.4806067978082365,1.7843072199845995
Marshall Islands,0,0,-1,-0.44544082314603595,-0.6054501958686896
Mauritania,0,0,-1,1.7995516191492713,-2.7914060257984983
Mauritius,0,0,-1,-0.6583670621812695,-1.508254809321852
Mexico,0,0,-1,-0.5488668334510531,2.7821584499038865
"Micronesia, Fed. Sts.",0,0,-1,1.1112494428094504,-1.3121469929248224
"Middle East, North Africa, Afghanistan & Pakistan",0,0,-1,-1.6142226676200182,1.1602269814455666
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",0,0,-1,-0.9891561333609324,-1.417415410242378
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",0,0,-1,-1.0346730646319369,-1.4695116161437125
Middle income,0,0,-1,0.19416443396929067,0.041153687597436456
Moldova,0,0,-1,2.75164566431637,1.4868284356159838
Monaco,0,0,-1,-0.3208707433740313,0.3360556936760559
Mongolia,0,0,-1,3.0582580726956,-1.043327312115371
Montenegro,0,0,-1,-2.976983106569222,-4.279833514224737
Morocco,0,0,-1,-1.3511239644521362,-2.1839101049947587
Mozambique,0,0,-1,5.827521936110543,-0.6605032880943974
Myanmar,0,0,-1,4.346071239180231,1.866812059956176
Namibia,0,0,-1,-2.8722073987493033,-5.434780745186221
Nauru,0,0,-1,0.33706602092035653,0.4573817100722527
Nepal,0,0,-1,0.7256329195535771,-1.6250852460462852
Netherlands,0,0,-1,-1.8946879464147852,2.4991215847420185
New Caledonia,0,0,-1,-2.461058078015801,-1.9870365679686623
New Zealand,0,0,-1,0.8912056420539674,0.8104024816711188
Nicaragua,0,0,-1,2.24482842940134,0.03925936579423598
Niger,0,0,-1,8.0120607325837,0.7093141232165935
Nigeria,0,0,-1,3.4400497376289043,-0.44506678301790675
North America,0,0,-1,-5.805605305219608,11.200126075318893
North Macedonia,0,0,-1,-4.876625566466697,-4.116169400577661
Northern Mariana Islands,0,0,-1,0.9903722103448099,0.2391461865480511
Norway,0,0,-1,-0.9262389371281338,2.0843391306651426
Not classified,0,0,-1,0.30992995780262067,0.14101364613368178
OECD members,0,0,-1,0.20958167424834737,0.052729620734424186
Oman,0,0,-1,1.3856127752172838,0.7107371504603354
Other small states,0,0,-1,-1.7709006382983177,-2.0184900360040903
Pacific island small states,0,0,-1,1.0483524161388738,0.8618299653181283
Pakistan,0,0,-1,2.592125516287791,0.1890335689226388
Palau,0,0,-1,-1.0084678076545888,0.476320537023324
Panama,0,0,-1,1.2600299177738616,-1.1353852155197675
